2026-06-08 19:11:30,145 | INFO | Generating atomic question DAG with DEPO.
2026-06-08 19:12:33,328 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-06-08 19:12:33,328 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-06-08 19:12:44,749 | INFO | Starting HyperBranch pipeline for question: Do both directors of films Wrong Turn 5: Bloodlines and Dark River (2017 Film) have the same nationality?
2026-06-08 19:12:44,750 | INFO | Executing atomic DAG with 4 node(s)
2026-06-08 19:12:49,019 | INFO | Atomic retrieval returned 89 hits for question=Who are the directors of Wrong Turn?
2026-06-08 19:12:59,293 | INFO | Atomic retrieval returned 86 hits for question=Who are the directors of Dark River (2017 Film)?
2026-06-08 19:13:01,891 | INFO | Rewrote retrieval question for q3: What is the nationality of the directors of Wrong Turn? -> What is the nationality of Declan O'Brien, Joe Lynch?
2026-06-08 19:13:06,577 | INFO | Atomic retrieval returned 87 hits for question=What is the nationality of Declan O'Brien, Joe Lynch?
2026-06-08 19:13:09,395 | INFO | Rewrote retrieval question for q4: What is the nationality of the directors of Dark River (2017 Film)? -> What is the nationality of Clio Barnard?
2026-06-08 19:13:13,242 | INFO | Atomic retrieval returned 86 hits for question=What is the nationality of Clio Barnard?
2026-06-08 19:13:25,005 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\depo_hyperbranch\2wikimultihopqa\20260608_191130_do-both-directors-of-films-wrong-turn-5-bloodlin
