2026-05-22 18:18:40,855 | INFO | Generating atomic question DAG with DEPO.
2026-05-22 18:20:17,659 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-05-22 18:20:17,660 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-05-22 18:20:31,035 | INFO | Starting HyperBranch pipeline for question: Which film has the director who died first, The Goose Woman or You Can No Longer Remain Silent?
2026-05-22 18:20:31,036 | INFO | Executing atomic DAG with 5 node(s)
2026-05-22 18:20:35,304 | INFO | Atomic retrieval returned 23 hits for question=Who is the director of The Goose Woman?
2026-05-22 18:20:44,256 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of You Can No Longer Remain Silent?
2026-05-22 18:20:59,133 | INFO | Atomic retrieval returned 23 hits for question=When did the director of The Goose Woman die?
2026-05-22 18:21:21,321 | INFO | Atomic retrieval returned 23 hits for question=When did the director of You Can No Longer Remain Silent die?
2026-05-22 18:21:31,280 | INFO | Atomic retrieval returned 23 hits for question=Who is the director of You Can No Longer Remain Silent?
2026-05-22 18:22:22,838 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\2wikimultihopqa\20260522_181840_which-film-has-the-director-who-died-first-the-g
