2026-05-26 17:36:30,963 | INFO | Generating atomic question DAG with DEPO.
2026-05-26 17:39:35,694 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-05-26 17:39:35,694 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-05-26 17:39:48,035 | INFO | Starting HyperBranch pipeline for question: Which film whose director is younger, Becoming Dick or Nude On The Moon?
2026-05-26 17:39:48,035 | INFO | Executing atomic DAG with 5 node(s)
2026-05-26 17:39:57,114 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of Becoming Dick?
2026-05-26 17:40:06,059 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of Nude On The Moon?
2026-05-26 17:40:24,431 | INFO | Rewrote retrieval question for q2: What is the age of the director of Becoming Dick? -> What is the age of Bob Saget?
2026-05-26 17:40:30,276 | INFO | Atomic retrieval returned 22 hits for question=What is the age of Bob Saget?
2026-05-26 17:40:43,735 | INFO | Rewrote retrieval question for q4: What is the age of the director of Nude On The Moon? -> What is the age of Doris Wishman and Raymond Phelan?
2026-05-26 17:40:49,718 | INFO | Atomic retrieval returned 22 hits for question=What is the age of Doris Wishman and Raymond Phelan?
2026-05-26 17:41:03,540 | INFO | Atomic retrieval returned 24 hits for question=Is the age of the director of Becoming Dick younger than the age of the director of Nud...
2026-05-26 17:42:09,872 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\2wikimultihopqa\20260526_173630_which-film-whose-director-is-younger-becoming-di
