2026-06-08 19:26:32,989 | INFO | Generating atomic question DAG with DEPO.
2026-06-08 19:27:28,468 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-06-08 19:27:28,468 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-06-08 19:27:40,712 | INFO | Starting HyperBranch pipeline for question: Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?
2026-06-08 19:27:40,712 | INFO | Executing atomic DAG with 4 node(s)
2026-06-08 19:27:45,254 | INFO | Atomic retrieval returned 86 hits for question=Who is the director of Playing It Wild?
2026-06-08 19:27:50,069 | INFO | Atomic retrieval returned 83 hits for question=Who is the director of I'Ll Be Going Now?
2026-06-08 19:27:52,806 | INFO | Rewrote retrieval question for q3: When was the director of Playing It Wild born? -> When was William Duncan born?
2026-06-08 19:27:58,234 | INFO | Atomic retrieval returned 94 hits for question=When was William Duncan born?
2026-06-08 19:28:01,142 | INFO | Rewrote retrieval question for q4: When was the director of I'Ll Be Going Now born? -> When was Dino Risi born?
2026-06-08 19:28:04,755 | INFO | Atomic retrieval returned 92 hits for question=When was Dino Risi born?
2026-06-08 19:28:13,758 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\depo_hyperbranch\2wikimultihopqa\20260608_192632_which-film-has-the-director-who-was-born-later-p
