2026-05-27 01:44:50,803 | INFO | Generating atomic question DAG with DEPO.
2026-05-27 01:47:42,871 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-05-27 01:47:42,872 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-05-27 01:47:55,247 | INFO | Starting HyperBranch pipeline for question: Which film whose director is younger, Becoming Dick or Nude On The Moon?
2026-05-27 01:47:55,247 | INFO | Executing atomic DAG with 5 node(s)
2026-05-27 01:48:02,191 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of Becoming Dick?
2026-05-27 01:48:14,322 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of Nude On The Moon?
2026-05-27 01:48:34,465 | INFO | Rewrote retrieval question for q2: What is the age of the director of Becoming Dick? -> What is the age of Bob Saget?
2026-05-27 01:48:42,101 | INFO | Atomic retrieval returned 22 hits for question=What is the age of Bob Saget?
2026-05-27 01:48:55,132 | INFO | Rewrote retrieval question for q4: What is the age of the director of Nude On The Moon? -> What is the age of Doris Wishman and Raymond Phelan?
2026-05-27 01:49:01,592 | INFO | Atomic retrieval returned 22 hits for question=What is the age of Doris Wishman and Raymond Phelan?
2026-05-27 01:49:16,906 | INFO | Atomic retrieval returned 22 hits for question=What is the age of the director of Becoming Dick?
2026-05-27 01:50:15,270 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\2wikimultihopqa\20260527_014450_which-film-whose-director-is-younger-becoming-di
