2026-06-08 20:05:02,513 | INFO | Generating atomic question DAG with DEPO.
2026-06-08 20:06:18,522 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-06-08 20:06:18,522 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-06-08 20:06:30,118 | INFO | Starting HyperBranch pipeline for question: Which film has the director born later, Arrête Ton Cinéma or Agni (2004 Film)?
2026-06-08 20:06:30,118 | INFO | Executing atomic DAG with 4 node(s)
2026-06-08 20:06:34,434 | INFO | Atomic retrieval returned 82 hits for question=Who is the director of Arrête Ton Cinéma?
2026-06-08 20:06:42,729 | INFO | Atomic retrieval returned 115 hits for question=Who is the director of Agni (2004 Film)?
2026-06-08 20:06:45,027 | INFO | Rewrote retrieval question for q3: When was the director of Arrête Ton Cinéma born? -> When was Diane Kurys born?
2026-06-08 20:06:49,186 | INFO | Atomic retrieval returned 97 hits for question=When was Diane Kurys born?
2026-06-08 20:06:51,711 | INFO | Rewrote retrieval question for q4: When was the director of Agni (2004 Film) born? -> When was Swapan Saha born?
2026-06-08 20:06:54,668 | INFO | Atomic retrieval returned 108 hits for question=When was Swapan Saha born?
2026-06-08 20:07:03,773 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\depo_hyperbranch\2wikimultihopqa\20260608_200502_which-film-has-the-director-born-later-arrete-to
