2026-05-27 04:21:05,233 | INFO | Generating atomic question DAG with DEPO.
2026-05-27 04:21:55,852 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-05-27 04:21:55,852 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-05-27 04:22:08,689 | INFO | Starting HyperBranch pipeline for question: Which film has the director born later, Christ Walking On The Water or 45 Fathers?
2026-05-27 04:22:08,689 | INFO | Executing atomic DAG with 4 node(s)
2026-05-27 04:22:14,172 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of Christ Walking On The Water?
2026-05-27 04:22:23,255 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of 45 Fathers?
2026-05-27 04:22:26,850 | INFO | Rewrote retrieval question for q2: When was the director of Christ Walking On The Water born? -> When was Georges Méliès born?
2026-05-27 04:22:31,690 | INFO | Atomic retrieval returned 22 hits for question=When was Georges Méliès born?
2026-05-27 04:22:51,563 | INFO | Atomic retrieval returned 22 hits for question=What is the birth date of the director of Christ Walking On The Water?
2026-05-27 04:23:17,287 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\2wikimultihopqa\20260527_042105_which-film-has-the-director-born-later-christ-wa
