2026-05-27 04:17:53,354 | INFO | Generating atomic question DAG with DEPO.
2026-05-27 04:19:03,464 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-05-27 04:19:03,465 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-05-27 04:19:16,133 | INFO | Starting HyperBranch pipeline for question: Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?
2026-05-27 04:19:16,134 | INFO | Executing atomic DAG with 5 node(s)
2026-05-27 04:19:21,771 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of Playing It Wild?
2026-05-27 04:19:31,414 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of I'Ll Be Going Now?
2026-05-27 04:19:35,238 | INFO | Rewrote retrieval question for q2: When was the director of Playing It Wild born? -> When was William Duncan born?
2026-05-27 04:19:39,264 | INFO | Atomic retrieval returned 25 hits for question=When was William Duncan born?
2026-05-27 04:19:42,412 | INFO | Rewrote retrieval question for q4: When was the director of I'Ll Be Going Now born? -> When was Dino Risi born?
2026-05-27 04:19:48,251 | INFO | Atomic retrieval returned 23 hits for question=When was Dino Risi born?
2026-05-27 04:20:01,331 | INFO | Atomic retrieval returned 25 hits for question=What is the birth date of the director of Playing It Wild?
2026-05-27 04:21:04,285 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\2wikimultihopqa\20260527_041753_which-film-has-the-director-who-was-born-later-p
