2026-06-08 19:35:11,695 | INFO | Generating atomic question DAG with DEPO.
2026-06-08 19:36:21,564 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-06-08 19:36:21,565 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-06-08 19:36:33,157 | INFO | Starting HyperBranch pipeline for question: Which film whose director is younger, Dangerously They Live or Salad By The Roots?
2026-06-08 19:36:33,157 | INFO | Executing atomic DAG with 4 node(s)
2026-06-08 19:36:37,365 | INFO | Atomic retrieval returned 92 hits for question=Who is the director of Dangerously They Live?
2026-06-08 19:36:42,157 | INFO | Atomic retrieval returned 99 hits for question=Who is the director of Salad By The Roots?
2026-06-08 19:36:44,298 | INFO | Rewrote retrieval question for q3: What is the birth year of the director of Dangerously They Live? -> What is the birth year of Robert Florey?
2026-06-08 19:36:48,777 | INFO | Atomic retrieval returned 138 hits for question=What is the birth year of Robert Florey?
2026-06-08 19:36:51,424 | INFO | Rewrote retrieval question for q4: What is the birth year of the director of Salad By The Roots? -> What is the birth year of Georges Lautner?
2026-06-08 19:36:54,178 | INFO | Atomic retrieval returned 91 hits for question=What is the birth year of Georges Lautner?
2026-06-08 19:37:08,195 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\depo_hyperbranch\2wikimultihopqa\20260608_193511_which-film-whose-director-is-younger-dangerously
