2026-06-08 19:43:53,721 | INFO | Generating atomic question DAG with DEPO.
2026-06-08 19:45:19,540 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-06-08 19:45:19,540 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-06-08 19:45:31,057 | INFO | Starting HyperBranch pipeline for question: Which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?
2026-06-08 19:45:31,058 | INFO | Executing atomic DAG with 4 node(s)
2026-06-08 19:45:35,387 | INFO | Atomic retrieval returned 71 hits for question=Who is the director of Tombstone Rashomon?
2026-06-08 19:45:59,312 | INFO | Atomic retrieval returned 107 hits for question=Who is the director of Waiting For The Clouds?
2026-06-08 19:46:01,146 | INFO | Rewrote retrieval question for q3: When was the director of Tombstone Rashomon born? -> When was Alex Cox born?
2026-06-08 19:46:04,893 | INFO | Atomic retrieval returned 90 hits for question=When was Alex Cox born?
2026-06-08 19:46:07,227 | INFO | Rewrote retrieval question for q4: When was the director of Waiting For The Clouds born? -> When was Yeşim Ustaoğlu born?
2026-06-08 19:46:11,385 | INFO | Atomic retrieval returned 82 hits for question=When was Yeşim Ustaoğlu born?
2026-06-08 19:48:23,176 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\depo_hyperbranch\2wikimultihopqa\20260608_194353_which-film-has-the-director-who-was-born-first-t
