2026-05-27 03:49:18,977 | INFO | Generating atomic question DAG with DEPO.
2026-05-27 03:51:19,544 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-05-27 03:51:19,544 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-05-27 03:51:31,942 | INFO | Starting HyperBranch pipeline for question: Which film has the director who died first, Karin Daughter Of Ingmar or The Man In The Trunk?
2026-05-27 03:51:31,943 | INFO | Executing atomic DAG with 5 node(s)
2026-05-27 03:51:37,066 | INFO | Atomic retrieval returned 22 hits for question=Who is the director of Karin Daughter Of Ingmar?
2026-05-27 03:51:51,142 | INFO | Atomic retrieval returned 21 hits for question=When did the director of The Man In The Trunk die?
2026-05-27 03:51:55,717 | INFO | Rewrote retrieval question for q2: When did the director of Karin Daughter Of Ingmar die? -> When did Victor Sjöström die?
2026-05-27 03:52:01,752 | INFO | Atomic retrieval returned 25 hits for question=When did Victor Sjöström die?
2026-05-27 03:52:10,900 | INFO | Atomic retrieval returned 23 hits for question=What film is associated with the death date of The Man In The Trunk?
2026-05-27 03:52:20,858 | INFO | Atomic retrieval returned 23 hits for question=When did the director of The Man In The Trunk die?
2026-05-27 03:52:45,794 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\2wikimultihopqa\20260527_034918_which-film-has-the-director-who-died-first-karin
