2026-05-26 23:21:05,743 | INFO | Generating atomic question DAG with DEPO.
2026-05-26 23:24:24,567 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-05-26 23:24:24,568 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-05-26 23:24:51,908 | INFO | Starting HyperBranch pipeline for question: Which film whose director is younger, Chased By The Dogs or The Demise Of Herman Durer?
2026-05-26 23:24:51,909 | INFO | Executing atomic DAG with 5 node(s)
2026-05-26 23:24:57,740 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of Chased By The Dogs?
2026-05-26 23:25:06,713 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of The Demise Of Herman Durer?
2026-05-26 23:25:11,676 | INFO | Rewrote retrieval question for q2: What is the age of the director of Chased By The Dogs? -> What is the age of Kamal El Sheikh?
2026-05-26 23:25:19,034 | INFO | Atomic retrieval returned 27 hits for question=What is the age of Kamal El Sheikh?
2026-05-26 23:25:23,760 | INFO | Rewrote retrieval question for q4: What is the age of the director of The Demise Of Herman Durer? -> What is the age of Leon de Winter?
2026-05-26 23:25:28,788 | INFO | Atomic retrieval returned 24 hits for question=What is the age of Leon de Winter?
2026-05-26 23:25:38,602 | INFO | Atomic retrieval returned 27 hits for question=What is the age of the director of Chased By The Dogs?
2026-05-26 23:26:07,431 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\2wikimultihopqa\20260526_232105_which-film-whose-director-is-younger-chased-by-t
