2026-05-22 19:13:53,560 | INFO | Generating atomic question DAG with DEPO.
2026-05-22 19:14:58,120 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-05-22 19:14:58,121 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-05-22 19:15:11,936 | INFO | Starting HyperBranch pipeline for question: Which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?
2026-05-22 19:15:11,936 | INFO | Executing atomic DAG with 5 node(s)
2026-05-22 19:15:16,362 | INFO | Atomic retrieval returned 22 hits for question=Who is the director of Tombstone Rashomon?
2026-05-22 19:15:30,144 | INFO | Atomic retrieval returned 22 hits for question=Who is the director of Waiting For The Clouds?
2026-05-22 19:15:42,586 | INFO | Atomic retrieval returned 22 hits for question=When was the director of Tombstone Rashomon born?
2026-05-22 19:15:59,569 | INFO | Atomic retrieval returned 26 hits for question=When was the director of Waiting For The Clouds born?
2026-05-22 19:16:08,466 | INFO | Atomic retrieval returned 22 hits for question=What is the birth date of the director of Tombstone Rashomon?
2026-05-22 19:16:50,244 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\2wikimultihopqa\20260522_191353_which-film-has-the-director-who-was-born-first-t
