2026-05-26 17:36:12,804 | INFO | Generating atomic question DAG with DEPO.
2026-05-26 17:38:36,531 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-05-26 17:38:36,531 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-05-26 17:38:48,723 | INFO | Starting HyperBranch pipeline for question: Do both films, Afrika (Film) and Man From The Deep River, have the directors who are from the same country?
2026-05-26 17:38:48,723 | INFO | Executing atomic DAG with 5 node(s)
2026-05-26 17:38:53,709 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of Afrika?
2026-05-26 17:39:03,305 | INFO | Atomic retrieval returned 21 hits for question=Who is the director of Man From The Deep River?
2026-05-26 17:39:10,558 | INFO | Rewrote retrieval question for q2: What is the nationality of the director of Afrika? -> What is the nationality of Alberto Cavallone?
2026-05-26 17:39:57,979 | INFO | Atomic retrieval returned 23 hits for question=What is the nationality of Alberto Cavallone?
2026-05-26 17:40:02,324 | INFO | Rewrote retrieval question for q4: What is the nationality of the director of Man From The Deep River? -> What is the nationality of Umberto Lenzi?
2026-05-26 17:40:09,072 | INFO | Atomic retrieval returned 25 hits for question=What is the nationality of Umberto Lenzi?
2026-05-26 17:40:31,028 | INFO | Atomic retrieval returned 23 hits for question=What is the nationality of the director of Afrika?
2026-05-26 17:41:12,268 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\2wikimultihopqa\20260526_173612_do-both-films-afrika-film-and-man-from-the-deep
