2026-06-08 20:30:48,902 | INFO | Generating atomic question DAG with DEPO.
2026-06-08 20:32:26,901 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-06-08 20:32:26,902 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-06-08 20:32:38,411 | INFO | Starting HyperBranch pipeline for question: Which film has the director who was born earlier, The Marriage Of Princess Demidoff or The Pocket-Knife?
2026-06-08 20:32:38,412 | INFO | Executing atomic DAG with 4 node(s)
2026-06-08 20:32:42,368 | INFO | Atomic retrieval returned 90 hits for question=Who is the director of The Marriage Of Princess Demidoff?
2026-06-08 20:32:47,249 | INFO | Atomic retrieval returned 97 hits for question=Who is the director of The Pocket-Knife?
2026-06-08 20:32:49,920 | INFO | Rewrote retrieval question for q3: When was the director of The Marriage Of Princess Demidoff born? -> When was Frederic Zelnik born?
2026-06-08 20:32:54,175 | INFO | Atomic retrieval returned 95 hits for question=When was Frederic Zelnik born?
2026-06-08 20:32:56,478 | INFO | Rewrote retrieval question for q4: When was the director of The Pocket-Knife born? -> When was Ben Sombogaart born?
2026-06-08 20:33:00,506 | INFO | Atomic retrieval returned 71 hits for question=When was Ben Sombogaart born?
2026-06-08 20:33:12,930 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\depo_hyperbranch\2wikimultihopqa\20260608_203048_which-film-has-the-director-who-was-born-earlier
