2026-05-26 18:04:53,003 | INFO | Generating atomic question DAG with DEPO.
2026-05-26 18:06:26,337 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-05-26 18:06:26,338 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-05-26 18:06:48,300 | INFO | Starting HyperBranch pipeline for question: Are both directors of films The Pit And The Pendulum (1913 Film) and How Sweet It Is! from the same country?
2026-05-26 18:06:48,300 | INFO | Executing atomic DAG with 4 node(s)
2026-05-26 18:06:54,677 | INFO | Atomic retrieval returned 225 hits for question=Who is the director of The Pit And The Pendulum (1913 Film)?
2026-05-26 18:07:06,147 | INFO | Atomic retrieval returned 234 hits for question=What is the nationality of the director?
2026-05-26 18:07:10,895 | INFO | Rewrote retrieval question for q2: What is the nationality of the director of The Pit And The Pendulum (1913 Film)? -> What is the nationality of Alice Guy-Blaché?
2026-05-26 18:07:20,081 | INFO | Atomic retrieval returned 22 hits for question=What is the nationality of Alice Guy-Blaché?
2026-05-26 18:07:32,994 | INFO | Atomic retrieval returned 20 hits for question=What is the nationality of the director?
2026-05-26 18:08:25,527 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\2wikimultihopqa\20260526_180453_are-both-directors-of-films-the-pit-and-the-pend
