2026-06-08 18:55:49,551 | INFO | Generating atomic question DAG with DEPO.
2026-06-08 18:56:57,859 | INFO | Loading dataset from D:\GitHub\HyperBranch\datasets\2wikimultihopqa
2026-06-08 18:56:57,859 | INFO | Using GraphML file graph_chunk_entity_relation.graphml
2026-06-08 18:57:12,583 | INFO | Starting HyperBranch pipeline for question: Which film has the director who is older, God'S Gift To Women or Aldri Annet Enn Bråk?
2026-06-08 18:57:12,584 | INFO | Executing atomic DAG with 4 node(s)
2026-06-08 18:57:17,241 | INFO | Atomic retrieval returned 89 hits for question=Who is the director of God'S Gift To Women?
2026-06-08 18:57:22,529 | INFO | Atomic retrieval returned 104 hits for question=Who is the director of Aldri Annet Enn Bråk?
2026-06-08 18:57:24,644 | INFO | Rewrote retrieval question for q3: How old is the director of God'S Gift To Women? -> How old is Michael Curtiz?
2026-06-08 18:57:28,878 | INFO | Atomic retrieval returned 131 hits for question=How old is Michael Curtiz?
2026-06-08 18:57:32,049 | INFO | Rewrote retrieval question for q4: How old is the director of Aldri Annet Enn Bråk? -> How old is Edith Carlmar?
2026-06-08 18:57:34,884 | INFO | Atomic retrieval returned 102 hits for question=How old is Edith Carlmar?
2026-06-08 18:57:45,397 | INFO | Pipeline finished. Artifacts saved under D:\GitHub\HyperBranch\runs\depo_hyperbranch\2wikimultihopqa\20260608_185549_which-film-has-the-director-who-is-older-god-s-g
